C,c1,c2,Time,R,EXP,c1,
,0,0,0,1.142384604,6,0,1
,0,0,0,0.953540821,6,0,1
,0,0,0,1.0112765,6,0,1
,0,0,0,0.987219967,6,0,1
,0,0,0,0.889791009,6,0,1
,0,0,0,0.92085587,7,0,1
,0,0,0,0.926447834,9,0,1
,0,0,0,0.967893457,9,0,1
,0,0,0,1.070678603,9,0,1
,0,0,23.5,1.833809452,6,0,1
,0,0,23.5,1.754422894,6,0,1
,0,0,23.5,1.650979803,6,0,1
,0,0,26,1.881681514,7,0,1
,0,0,26,2.09644448,7,0,1
,0,0,26,1.843024181,7,0,1
,0,0,29,2.019783378,9,0,1
,0,0,29,2.067860301,9,0,1
,0,0,29,1.850685234,9,0,1
,0,0,47,3.139920424,9,0,1
,0,0,47,3.068633952,9,0,1
,0,0,47,3.050397878,9,0,1
,0,0,47.5,2.854909036,6,0,1
,0,0,47.5,2.98962562,6,0,1
,0,0,47.5,2.936701248,6,0,1
,0,0,47.5,2.767102691,6,0,1
,0,0,47.5,2.901819275,6,0,1
,0,0,47.5,3.228988122,6,0,1
,0,0,47.5,2.878965569,6,0,1
,0,0,47.5,3.043752819,6,0,1
,0,0,47.5,2.761088558,6,0,1
,0,0,53.5,3.253778237,7,0,1
,0,0,53.5,3.525811327,7,0,1
,0,0,53.5,3.512925549,7,0,1
,0,0,71,5.135368115,6,0,1
,0,0,71,4.903222573,6,0,1
,0,0,71,4.756477723,6,0,1
,0,0,71,5.421640856,6,0,1
,0,0,71,4.754072069,6,0,1
,0,0,71,4.696336391,6,0,1
,0,0,71,4.87194908,6,0,1
,0,0,71,4.744449456,6,0,1
,0,0,71,5.277301659,6,0,1
,0,0,94,7.074424899,6,0,1
,0,0,94,7.221169749,6,0,1
,0,0,94,6.940911141,6,0,1
,0,0,94,7.296947827,6,0,1
,0,0,94,7.526687716,6,0,1
,0,0,94,8.051120132,6,0,1
,0,0,94,8.057134266,6,0,1
,0,0,94,8.604420388,6,0,1
,0,0,94,7.974139227,6,0,1
,0,0,94,7.403999399,6,0,1
,0,0,94,7.453315291,6,0,1
,0,0,94,7.186287776,6,0,1
,0,0,94,7.600060141,6,0,1
,0,0,94,7.545932942,6,0,1
,0,0,94,7.416027665,6,0,1
,0,0,94.5,9.136851734,7,0,1
,0,0,94.5,8.640033408,7,0,1
,0,0,94.5,9.255687241,7,0,1
,0,0,103,7.720490716,9,0,1
,0,0,103,9.423076923,9,0,1
,0,0,103,12.41545093,9,0,1
,0,0,120,14.85014318,7,0,1
,0,0,120,15.6218581,7,0,1
,0,0,120,15.40136812,7,0,1
,0,15,0,1.285520974,6,0,2
,0,15,0,0.940900414,7,0,2
,0,15,23.5,1.531899965,6,0,2
,0,15,23.5,1.600461084,6,0,2
,0,15,23.5,1.60166391,6,0,2
,0,15,26,1.895999045,7,0,2
,0,15,26,1.963291441,7,0,2
,0,15,26,1.744233217,7,0,2
,0,15,47.5,2.844083596,6,0,2
,0,15,47.5,2.834460983,6,0,2
,0,15,47.5,2.916253195,6,0,2
,0,15,53.5,3.066218581,7,0,2
,0,15,53.5,3.405544066,7,0,2
,0,15,53.5,3.374045498,7,0,2
,0,15,71,4.786548389,6,0,2
,0,15,71,4.873151907,6,0,2
,0,15,71,4.559214153,6,0,2
,0,15,94,6.415275898,6,0,2
,0,15,94,6.914448955,6,0,2
,0,15,94,6.734024959,6,0,2
,0,15,94.5,8.430997455,7,0,2
,0,15,94.5,8.5211979,7,0,2
,0,15,94.5,8.432429208,7,0,2
,0,15,120,13.98965956,7,0,2
,0,15,120,14.00111359,7,0,2
,0,15,120,14.09131403,7,0,2
,0,30,0,0.959604332,9,0,3
,0,30,0,0.954630858,9,0,3
,0,30,29,2.168987622,9,0,3
,0,30,29,1.827475685,9,0,3
,0,30,29,1.916998232,9,0,3
,0,30,47,2.544761273,9,0,3
,0,30,47,2.682360743,9,0,3
,0,30,47,2.597811671,9,0,3
,0,30,103,8.100132626,9,0,3
,0,30,103,9.854111406,9,0,3
,0,30,103,10.76757294,9,0,3
,0,50,0,1.066606525,6,0,4
,0,50,0,1.104120267,7,0,4
,0,50,23.5,1.647371323,6,0,4
,0,50,23.5,1.632937403,6,0,4
,0,50,23.5,1.625720443,6,0,4
,0,50,26,2.082126949,7,0,4
,0,50,26,2.030583837,7,0,4
,0,50,26,2.225302259,7,0,4
,0,50,47.5,2.626371974,6,0,4
,0,50,47.5,2.681702,6,0,4
,0,50,47.5,2.644414374,6,0,4
,0,50,53.5,2.852887369,7,0,4
,0,50,53.5,3.021834235,7,0,4
,0,50,53.5,3.235165447,7,0,4
,0,50,71,4.693930737,6,0,4
